baseline,vs,metric,delta,ci_lo,ci_hi,significant
clean,oversample,macro-recall,0.002,-0.0118,0.0172,False
clean,oversample,rare-recall,0.0384,0.0021,0.0787,True
clean,randaugment,macro-recall,-0.0026,-0.021,0.0158,False
clean,randaugment,rare-recall,-0.0031,-0.0541,0.0479,False
clean,physics,macro-recall,0.0061,-0.0082,0.0211,False
clean,physics,rare-recall,0.0425,0.0041,0.083,True
clean,perturb,macro-recall,0.0041,-0.0136,0.0223,False
clean,perturb,rare-recall,0.0398,-0.0075,0.0904,False
clean,logit_adj,macro-recall,-0.0099,-0.024,0.0039,False
clean,logit_adj,rare-recall,-0.0216,-0.0584,0.0155,False
clean,logit_adj_t15,macro-recall,-0.017,-0.0343,-0.0001,True
clean,logit_adj_t15,rare-recall,-0.0836,-0.1312,-0.0375,True
clean,logit_adj_t20,macro-recall,-0.0041,-0.0216,0.0132,False
clean,logit_adj_t20,rare-recall,-0.1163,-0.1615,-0.0713,True
clean,clean_nw,macro-recall,0.0147,-0.0002,0.0302,False
clean,clean_nw,rare-recall,0.0518,0.0143,0.093,True
clean,oversample_nw,macro-recall,0.0194,0.0049,0.0341,True
clean,oversample_nw,rare-recall,0.0302,-0.007,0.0676,False
clean,physics_nw,macro-recall,0.0134,-0.0037,0.0307,False
clean,physics_nw,rare-recall,0.0443,-0.0016,0.0901,False
clean,perturb_nw,macro-recall,0.0206,0.0029,0.039,True
clean,perturb_nw,rare-recall,0.0401,-0.0079,0.0902,False
